Origin (UTC),Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,K,
1976.5.17 2:58,Uzbekistan,40.373,63.428,14.8,6.7 MW,,6,6,6,0,,6,
1976.5.29 12:23,China,24.501,98.93,6.5,6.7 MW,,,,98,,,3,
1976.5.29 14:00,China,24.581,98.61,7.6,6.6 MW,,,,,,,3,
1976.6.25 19:18,Indonesia (see 1976 Papua earthquake),-4.531,140.109,15,7.1 MW,L,422,7422,6000,420,,7,
1976.7.9 9:34,Turkey,38.327,40.463,33,4.2 mb,,1,1,1,,,1,
1976.7.14 7:13,Indonesia,-8.228,114.774,24.8,6.5 MW,,563,563,563,573,,9,
1976.7.21 15:10,China,24.768,98.667,4.3,6.1 MW,,,,11,,,3,
1976.7.27 19:42,China (see 1976 Tangshan earthquake),39.605,117.888,16.7,7.6 MW,,655237,655237,242800,242000,,0,
1976.7.28 10:45,China,39.723,118.359,18.2,7.0 MW,,,,,,,0,
1976.8.16 14:06,China (see 1976 Songpan-Pingwu earthquake),32.753,104.088,10.7,6.7 MW,,,,,0,,3,
1976.8.16 16:11,Philippines (see 1976 Moro Gulf Earthquake),6.292,124.089,57.9,8.0 MW,T,,6500,8000,6000,,9,
1976.8.17 4:19,Philippines,7.259,122.96,20.2,7.1 MW,,,,,,,9,
1976.8.19 1:12,Turkey,37.743,29.015,11.7,5.0 mb,,4,4,4,4,,8,
1976.8.23 3:30,China,32.481,104.182,7.9,6.4 MW,,,,41,,,3,
1976.9.11 16:31,Italy,46.339,13.181,4.2,5.5 MS,L,5,5,5,,,8,
1976.9.15 3:15,Italy (see 1976 Friuli earthquake),46.314,13.206,0.9,6.0 MW,,11,11,11,,,8,
1976.9.15 9:21,Italy,46.354,13.087,9.7,5.9 MS,,0,0,2,,,8,
1976.10.6 9:12,Ecuador,-0.726,-78.732,4.7,5.7 mb,,9,9,9,,,2,
1976.10.29 2:51,Indonesia,-4.475,139.991,15,6.8 MW,,133,133,6000,,,7,
1976.11.6 18:04,China,27.554,101.021,7.7,6.3 MW,,,,33,,,3,
1976.11.7 4:00,Iran,33.82,59.18,6.5,6.0 MW,,17,17,17,16,,1,
1976.11.24 12:22,Turkey (see 1976 __ald__ran-Muradiye earthquake),39.082,44.031,8.9,7.0 MW,,5000,5000,3900,3840,,1,
1976.11.30 0:40,Chile,-20.472,-68.896,133.7,7.5 MW,,1,1,1,,,2,
1976.12.8 8:38,South Africa,-27.979,26.677,10,5.2 mb,,4,4,4,,,8,
1976.12.13 6:36,China,27.336,101.024,3.4,5.9 MS,,,,2,,,3,
1977.1.1 21:39,China,38.185,91.014,5.3,6.0 MW,,,,2,,,3,
1977.3.4 21:21,Romania (see 1977 Vrancea earthquake),45.776,26.702,89,7.5 MW,,,,1581,1641,,8,
1977.3.18 21:43,Philippines,16.755,122.285,32.5,7.2 MW,,1,1,1,1,,0,
1977.3.21 21:18,Iran,27.583,56.363,12,6.7 MW,,167,167,167,167,,1,
1977.3.25 2:39,Turkey,38.647,40.057,17.4,5.3 MW,,30,30,30,30,,1,
1977.4.6 13:36,Iran,31.954,50.643,9.4,6.0 MW,,348,348,366,352,,1,
1977.4.21 4:24,Solomon Islands,-10.009,160.816,45.1,7.3 MW,T,0,18,18,,,7,
1977.5.26 1:35,Iran,38.896,44.324,16.9,5.6 MW,,3,3,3,3,,1,
1977.8.19 5:08,Indonesia,-11.18,118.37,29.4,5.7 MW,T,,,,185,,9,
1977.8.19 6:08,Indonesia,-11.126,118.38,22.6,8.3 MW,T,,189,189,,,9,
1977.8.27 7:12,Indonesia,-8.136,125.326,44.6,7.0 MW,,2,2,2,,,9,
1977.8.31 0:42,Colombia,7.351,-76.159,21.3,6.5 MW,,3,3,3,,,2,
1977.11.23 9:26,Argentina (see 1977 San Juan earthquake),-31.082,-67.78,19.5,7.4 MW,L,Lq,70,70,70,,2,
1977.12.10 5:46,Iran,27.687,56.578,13.9,5.6 MW,,3,3,,3,,1,
1977.12.19 23:34,Iran,30.911,56.413,11.6,5.9 MW,,584,584,665,589,,1,
1978.1.14 3:24,Japan,34.803,139.294,10.7,6.6 MW,T,21,25,25,21,,0,
1978.2.22 6:07,Guatemala,14.268,-91.399,66.9,6.3 MW,,2,2,2,,,5,
1978.3.11 19:20,Italy,38.046,15.99,22.2,5.2 MW,,2,2,2,,,8,
1978.3.16 2:00,Afghanistan,29.928,66.234,10.2,6.1 MW,,1,1,,,,6,
1978.3.19 1:39,Mexico,16.932,-99.782,11,6.6 MW,,1,1,1,,,5,
1978.4.15 23:33,Italy,38.381,15.073,17,6.0 MW,,5,5,5,,,8,
1978.6.12 8:06,Japan,38.235,142.105,46.2,5.7 mb,T,,,28,,,0,
1978.6.12 8:14,Japan (see 1978 Miyagi earthquake),38.224,142.009,53.3,7.6 MW,,22,22,,,,0,
1978.6.19 10:31,Greece,40.732,23.257,7.7,5.3 MW,,1,1,1,50,,8,
1978.6.20 20:03,Greece (see 1978 Thessaloniki earthquake),40.76,23.303,7.4,6.5 MW,,50,50,50,,,8,
1978.7.4 22:23,Greece,40.718,23.112,7.4,4.6 ML,,1,1,1,,,8,
1978.7.29 14:37,Guatemala,14.758,-90.99,15,4.9 mb,,5,5,17,,,5,
1978.9.16 15:35,Iran (see 1978 Tabas earthquake),33.242,57.382,8.2,7.4 MW,,15000,15000,18220,25000,,1,
1978.11.29 19:52,Mexico,16.011,-96.603,24.8,7.8 MW,T,9,9,9,9,,5,
1978.12.14 7:05,Iran,32.128,49.634,18.9,6.1 MW,,76,76,76,45,,1,
1978.12.23 11:23,Taiwan,23.217,122.009,45.5,7.0 MW,,2,2,2,,,0,
1979.1.16 9:50,Iran,33.909,59.471,9.9,6.5 MW,,200,200,200,,,1,
1979.2.16 10:08,Peru,-16.537,-72.553,55.1,7.1 MW,,18,18,18,13,,2,
1979.3.14 11:07,Mexico,17.758,-101.221,24.7,7.4 MW,T,5,5,15,5,,5,
1979.3.15 12:52,China,23.162,101.106,13.5,6.0 MW,,,,12,,,3,
1979.4.15 6:19,Montenegro (see 1979 Montenegro earthquake),41.999,19.156,15,6.9 MW,T,156,156,129,121,,8,
1979.5.30 9:38,Indonesia,-8.345,115.864,20,6.2 MW,,37,37,22,34,,9,
1979.7.2 16:30,India,34.525,74.291,35,4.5 mb,,0,3,,,,6,
1979.7.9 10:57,China,31.472,119.27,12.6,5.4 MW,,41,41,42,,,0,
1979.9.12 5:17,Indonesia,-1.682,135.974,17.6,7.5 MW,T,15,15,15,2,,7,
1979.9.19 21:35,Italy,42.773,13.01,15,5.8 MW,,5,5,5,5,,8,
1979.10.20 1:41,Indonesia,-8.363,115.782,52,6.4 MW,,2,2,2,,,9,
1979.10.27 14:35,Guatemala,13.829,-90.841,56.5,6.8 MW,,4,4,7,,,5,
1979.11.2 15:53,Indonesia,-7.746,108.165,72.1,6.5 MW,,30,30,23,26,,9,
1979.11.6 5:26,Greece,39.52,20.375,28.1,5.4 mb,,1,1,1,,,8,
1979.11.14 2:21,Iran,33.956,59.726,9.1,6.5 MW,,280,280,280,350,,1,
1979.11.23 23:40,Colombia,4.793,-76.19,107.7,7.2 MW,L,52,52,52,60,,2,
1979.11.27 17:10,Iran,34.056,59.754,7.4,7.0 MW,,17,17,17,16,,1,
1979.12.12 7:59,Colombia,1.603,-79.363,23.6,8.1 MW,T,600,600,600,300,,2,
1979.12.15 0:02,Indonesia,-3.339,102.567,13,6.5 MW,,8,8,8,5,,9,
1979.12.17 19:58,Indonesia,-8.487,115.753,15,6.5 MW,,27,27,32,32,,9,
1980.1.1 16:42,Portugal (see 1980 Azores Islands earthquake),38.726,-27.751,12.2,6.9 MW,,60,60,56,69,,8,
1980.1.24 19:00,United States,37.712,-121.728,15,5.8 MW,,0,0,1,,,5,
1980.2.20 2:34,Italy,39.291,16.152,8.2,4.8 ML,,0,1,,,,8,
1980.6.9 3:28,Mexico,32.268,-114.908,4.6,6.3 MW,,1,1,1,,,5,
1980.7.9 2:11,Greece,39.257,23.008,17.2,6.6 MW,,1,1,1,,,8,
1980.7.22 5:17,Iran,37.322,50.262,25,5.5 MW,,1,1,1,,,1,
1980.7.29 14:58,Nepal,29.623,81.103,14.4,6.5 MW,,188,188,100,100,,6,
1980.8.9 5:45,Guatemala,15.912,-88.49,16.9,6.5 MW,,2,2,2,2,,5,
1980.8.18 15:07,Ecuador,-1.987,-80.002,55.9,5.9 MW,,8,8,8,8,,2,
1980.8.23 21:36,India,32.922,75.693,14.5,5.5 MW,,15,15,15,13,,6,
1980.8.23 21:50,India,32.893,75.776,11.3,5.5 MW,,,,13,,,6,
1980.9.23 19:10,Japan,35.997,139.74,82.7,5.3 MW,,1,1,,2,,0,
1980.9.24 17:54,Japan,35.525,140.062,71.5,6.0 MW,,2,2,,,,0,
1980.10.10 12:25,Algeria,36.143,1.404,15,7.1 MW,,5000,5000,3500,2633,,8,
1980.10.10 15:39,Algeria (see 1980 El Asnam earthquake),36.213,1.577,12.4,6.2 MW,,,,,,,8,
1980.10.24 14:53,Mexico (see 1980 Central Mexico earthquake),18.175,-98.235,64.3,7.1 MW,,300,300,65,65,,5,
1980.11.12 6:58,Peru,-13.347,-74.545,71,4.9 mb,,7,7,7,,,2,
1980.11.19 19:00,India,27.392,88.795,38.5,6.3 MW,,0,0,3,0,,3,
1980.11.23 18:34,Italy (see 1980 Irpinia earthquake),40.788,15.31,6.9,6.9 MW,,3000,4900,2483,4689,,8,
1980.11.30 7:41,Italy,40.766,15.295,15.1,4.9 ML,,0,1,,,,8,
1980.12.19 1:16,Iran,34.472,50.643,12.7,6.2 MW,,26,26,26,20,,1,
1980.12.22 12:51,Iran,34.427,50.634,16.4,5.7 MW,,3,3,3,4,,1,
1981.1.19 15:11,Indonesia (see 1981 Irian Jaya earthquake),-4.513,139.283,20,6.6 MW,,305,1305,1300,,,7,
1981.1.23 21:13,China (see 1981 Dawu earthquake),30.956,101.168,10.9,6.5 MW,,150,150,126,150,,3,
1981.2.14 17:27,Italy,40.995,14.614,4.9,4.9 ML,,4,12,,,,8,
1981.2.18 8:28,South Africa,-26.625,26.607,33,4.7 mb,,0,4,4,,,8,
1981.2.24 20:53,Greece,38.159,22.976,16.2,6.7 MW,,16,16,21,22,,8,
1981.2.25 2:35,Greece,38.097,23.17,6,6.4 MW,,,,,,,8,
1981.3.4 21:58,Greece,38.197,23.3,14.9,6.2 MW,,0,1,,,,8,
1981.3.7 11:34,Greece,38.181,23.335,37.1,5.4 MW,,1,1,1,,,8,
1981.3.10 15:16,Greece,39.382,20.813,36.4,5.4 MW,L,0,2,2,2,,8,
1981.4.18 0:32,Peru,-13.116,-74.373,40.8,5.5 MW,,8,8,8,8,,2,
1981.6.11 7:24,Iran,29.858,57.686,17.3,6.6 MW,,3000,3000,3000,2000,,1,
1981.6.13 7:29,Afghanistan,36.198,67.836,21,5.6 MW,,1,1,1,,,6,
1981.6.21 10:30,Chile,-20.276,-70.384,36,5.7 MW,,,,,10,,2,
1981.6.22 17:53,Peru,-13.185,-74.463,15.6,5.8 MW,,6,6,6,,,2,
1981.7.28 17:22,Iran,29.976,57.767,13.6,7.2 MW,,1500,1500,1500,1200,,1,
1981.9.12 7:15,Pakistan,35.685,73.597,14.7,6.1 MW,L,220,220,229,250,,6,
1981.10.16 3:25,Chile,-33.178,-73.033,44.9,7.1 MW,,0,1,1,,,2,
1981.10.18 4:31,Colombia,8.111,-72.501,39.3,5.9 MW,L,15,15,15,10,,2,
1981.10.25 3:22,Mexico,18.115,-102.009,19,7.2 MW,,3,3,9,3,,5,
1981.12.12 20:26,Pakistan,29.912,67.08,35,4.6 mb,,6,6,6,,,6,
1982.1.23 14:10,Taiwan,23.951,121.752,11.8,6.0 MW,,,,1,,,0,
1982.3.23 5:10,Peru,-12.341,-77.538,59.1,5.1 mb,,2,2,2,,,2,
1982.3.28 23:24,Peru,-12.743,-76.01,90.8,6.3 MW,,3,3,3,3,,2,
1982.4.13 11:26,South Africa,-27.926,26.783,5,5.0 mb,L,0,1,1,,,8,
1982.6.7 10:59,Mexico,16.518,-98.347,18.9,6.9 MW,,9,9,9,,,5,
1982.6.15 23:24,China,31.871,99.872,10.3,5.6 MW,,10,10,11,10,,3,
1982.6.19 6:21,El Salvador (see 1982 El Salvador earthquake),13.337,-89.313,72.8,7.3 MW,L,43,43,43,,,5,
1982.9.29 5:50,Honduras,14.494,-89.102,13.9,5.6 MW,,3,3,3,,,5,
1982.11.15 20:07,Algeria,35.585,1.361,7.1,5.2 MW,,3,3,3,,,8,
1982.11.16 23:41,Albania,40.78,19.666,21.9,5.6 MW,,1,1,1,1,,8,
1982.12.13 9:12,Yemen (see 1982 North Yemen earthquake),14.675,44.223,7,6.2 MW,L,2800,2800,2800,1507,,1,
1982.12.16 0:40,Afghanistan,36.136,68.933,35.5,6.4 MW,,450,450,500,500,,6,
1982.12.25 12:28,Indonesia,-8.43,122.97,6.7,5.9 MW,L,13,13,13,13,,9,
1983.2.13 1:40,China,39.994,75.173,9,6.2 MW,,0,0,1,,,6,
1983.2.25 18:22,Yugoslavia,41.959,21.54,24,4.7 mb,,0,12,,12,,8,
1983.3.15 17:27,Japan,34.797,137.58,34.5,5.4 MW,,1,1,,,,0,
1983.3.25 11:57,Iran,36.042,52.295,14.6,5.4 MW,L,30,30,100,30,,1,
1983.3.31 13:12,Colombia,2.439,-76.659,30.1,5.6 MW,,300,300,241,250,,2,
1983.4.3 2:50,Costa Rica,8.721,-83.078,25,7.4 MW,,1,6,1,10,,2,
1983.4.4 2:51,Indonesia,5.722,94.687,85.6,7.0 MW,,,,,0,,9,
1983.4.5 6:50,China,39.972,75.215,10.7,5.8 MW,,,,,,,6,
1983.4.12 12:07,Peru,-4.846,-78.091,125.9,7.0 MW,,,,10,,,2,
1983.5.26 2:59,Japan,40.473,139.091,17,7.7 MW,T,104,107,104,102,,0,
1983.7.3 17:14,Costa Rica,9.612,-83.707,14.5,6.3 MW,L,2,2,2,2,,2,
1983.7.5 12:01,Turkey (see 1983 Biga earthquake),40.309,27.254,2.6,6.1 MW,,5,5,5,,,8,
1983.7.20 22:03,Italy,37.502,15.151,33,4.4 mb,,0,1,,,,8,
1983.7.22 2:41,Iran,36.942,49.213,20,5.6 mb,,3,3,3,3,,1,
1983.8.2 9:01,France,49.15,6.698,0,3.5 ML,,0,1,1,,,8,
1983.8.8 3:47,Japan,35.507,139.045,18.1,5.6 MW,L,1,1,1,1,,0,
1983.8.17 12:17,Philippines,18.206,120.785,29,6.6 MW,L,Lq,16,16,24,19,0,
1983.10.4 18:52,Chile,-26.539,-70.502,23.9,7.6 MW,T,L,5,5,5,,2,
1983.10.25 0:36,Indonesia,1.151,120.841,26.6,6.5 MW,,,,2,,,9,
1983.10.28 14:06,United States (see 1983 Borah Peak earthquake),44.078,-113.8,16,6.9 MW,L,2,2,2,2,,5,
1983.10.30 4:12,Turkey (see 1983 Erzurum earthquake),40.327,42.176,15,6.6 MW,,1342,1342,1400,1346,,1,
1983.11.6 21:09,China,35.223,115.204,32.1,5.5 MW,,34,34,45,34,,0,
1983.11.8 0:49,Belgium,50.696,5.346,10,4.9 ML,,1,2,1,2,,8,
1983.12.16 13:15,Tajikistan,39.351,72.929,13.3,5.9 MW,,,,,12,,6,
1983.12.21 23:32,Papua New Guinea,-5.446,151.895,42.2,6.2 MW,,,,10,10,,7,
1983.12.22 4:11,Guinea,11.862,-13.511,7.8,6.3 MW,,443,643,643,275,,8,
1983.12.30 23:52,Afghanistan,36.405,70.677,215.9,7.4 MW,,26,26,12,24,,6,
1984.1.8 15:24,Indonesia,-2.866,118.726,43.6,6.7 MW,T,2,2,2,2,,9,
1984.1.25 19:36,United States,47.5,-116,1,2.3 ML,,0,1,1,,,5,
1984.2.1 14:22,Afghanistan,34.564,70.446,9,6.1 MW,,1,1,1,1,,6,
1984.2.16 17:18,Afghanistan,36.447,70.84,208.1,6.4 MW,,4,4,4,4,,6,
1984.3.6 2:17,Japan,29.372,138.871,459.1,7.4 MW,,0,1,,,,0,
1984.4.22 17:39,Italy,43.616,10.194,15,4.7 ML,,0,3,,,,8,
1984.5.7 17:49,Italy,41.738,13.889,21.4,5.9 MW,,3,3,7,3,,8,
1984.5.11 10:41,Italy,41.755,13.901,10.9,5.5 MW,,0,3,,,,8,
1984.5.13 12:45,Bosnia and Herzegovina,42.974,17.829,37,5.4 MW,,0,1,1,,,8,
1984.5.21 15:37,China,32.604,121.602,43.8,6.0 MW,,,,13,,,0,
1984.6.20 14:12,Canada,46.58,-80.8,1,3.4 Lg,,0,4,4,,,5,
1984.6.24 11:17,Dominican Republic,17.981,-69.371,45.1,6.7 MW,,,,5,,,2,
1984.6.24 18:18,Dominican Republic,18.039,-69.233,24.8,5.2 MW,,5,5,,,,2,
1984.9.13 23:48,Japan (see 1984 Otaki earthquake),35.801,137.466,1.1,6.2 MW,L,24,24,29,20,,0,
1984.9.15 2:55,United States,47.46,-115.987,1,2.8 ML,,0,1,,,,5,
1984.9.18 13:26,Turkey,40.892,42.241,10,5.5 MW,,3,3,3,3,,1,
1984.10.18 9:46,Turkey,40.711,42.447,35,5.4 MW,,3,3,3,3,,1,
1984.12.30 23:33,India,24.684,92.864,3.4,6.0 MW,,20,20,,20,,3,
1985.1.26 3:06,Argentina (see 1985 Mendoza earthquake),-33.109,-68.593,19.2,5.9 MW,,6,6,6,6,,2,
1985.2.2 20:52,Iran,28.352,52.972,13.8,5.4 MW,,1,1,1,1,,1,
1985.3.3 22:47,Chile (see 1985 Santiago earthquake),-33.132,-71.762,40,7.9 MW,T,Lq,177,177,177,180,2,
1985.3.14 23:03,Italy,41.631,14.263,14,4.3 ML,,0,1,,,,8,
1985.3.17 10:41,Chile (see 1985 Santiago earthquake),-32.712,-71.68,22,6.5 MW,,0,1,,,,2,
1985.3.18 19:49,Philippines,7.776,123.512,26.5,6.5 MW,,0,2,,2,,9,
1985.3.19 10:28,Bolivia,-18.567,-63.6,29.7,5.8 MW,,2,2,2,,,2,
1985.3.29 11:15,China,29.35,104.953,35,4.9 mb,,1,1,2,,,3,
1985.4.9 1:56,Chile (see 1985 Pichilemu earthquake),-34.134,-71.535,38,7.1 MW,,0,2,,,,2,
1985.4.18 5:52,China (see 1985 Luquan earthquake),25.891,102.885,4.1,5.7 MW,,23,23,22,,,3,
1985.4.24 1:07,Philippines,16.541,120.812,5.3,6.1 MW,L,6,6,6,,,0,
1985.5.10 15:35,Papua New Guinea,-5.601,151.056,47.2,7.2 MW,L,1,1,1,,,7,
1985.7.29 7:54,Afghanistan,36.165,70.857,100.1,7.4 MW,L,5,5,5,5,,6,
1985.8.23 12:41,China (see 1985 Wuqia earthquake),39.447,75.264,4.3,6.9 MW,,71,71,67,67,,6,
1985.9.11 20:45,China,39.356,75.415,21.2,6.1 MW,,4,4,3,,,6,
1985.9.15 2:42,Indonesia,-4.064,136.093,4.2,6.3 MW,,10,10,10,10,,7,
1985.9.19 13:17,Mexico (see 1985 Mexico City earthquake),18.42,-102.38,15,8.0 MW,T,L,9500,9500,9500,9500,5,
1985.9.21 1:37,Mexico,17.831,-101.623,17.6,7.5 MW,T,,,,,,5,
1985.10.13 15:59,Tajikistan,40.337,69.81,15.9,5.8 MW,L,29,29,,29,,6,
1985.10.27 19:34,Algeria,36.386,6.846,30.4,5.8 MW,,6,6,5,30,,8,
1985.12.25 2:38,Italy,37.688,15.068,10,4.3 mb,,1,1,1,,,8,
1986.1.11 19:42,Peru,-9.512,-77.437,56.7,5.1 MW,,1,1,1,1,,2,
1986.3.12 16:32,United States,47.47,-115.8,1,2.0 ML,,0,1,1,,,5,
1986.4.5 20:14,Peru,-13.402,-71.757,49,5.2 MW,L,16,16,16,15,,2,
1986.4.26 7:35,India,32.118,76.397,10.2,5.5 MW,,6,6,6,6,,6,
1986.5.5 3:35,Turkey,37.999,37.781,4.1,6.0 MW,,15,15,15,15,,1,
1986.5.13 8:44,Georgia,41.404,43.704,10,5.7 MW,,2,2,2,2,,1,
1986.5.20 5:25,Taiwan,24.146,121.643,15.8,6.2 MW,,1,1,1,,,0,
1986.6.6 10:39,Turkey,38.007,37.91,22.5,5.8 MW,L,1,1,1,,,1,
1986.6.11 13:48,Venezuela,10.573,-62.911,13.9,6.2 MW,,2,2,2,,,2,
1986.7.12 7:54,Iran,29.911,51.557,5.4,5.7 MW,,1,1,1,1,,1,
1986.7.13 13:47,United States,33.066,-117.84,15,5.8 MW,L,0,0,1,0,,5,
1986.7.18 17:22,Venezuela,10.743,-69.424,8.3,5.4 MW,,0,1,,1,,2,
1986.8.6 19:55,China,29.28,100.754,10.8,5.3 MW,,,,2,,,3,
1986.8.30 21:28,Romania (see 1986 Vrancea earthquake),45.521,26.271,136,7.2 MW,,2,2,2,,,8,
1986.9.13 17:24,Greece,37.072,22.176,21.7,6.0 MW,,20,20,21,20,,8,
1986.10.10 17:49,El Salvador (see 1986 San Salvador earthquake),13.791,-89.165,10.9,7.3 MW,L,950,1000,1500,1100,,5,
1986.11.14 21:20,Taiwan,23.974,121.727,34,7.3 MW,L,15,15,13,,,0,
1986.12.7 14:17,Bulgaria,43.278,26.003,4.8,5.6 MW,,3,3,3,3,,8,
1986.12.18 20:01,Poland,50.304,19.235,10,2.8 ML,,0,3,3,,,8,
1987.1.22 5:10,Italy,43.515,10.154,21,4.2 ML,,0,2,,,,8,
1987.1.26 11:11,Algeria,35.919,1.387,11.7,4.9 mb,,1,1,1,1,,8,
1987.2.8 18:33,Papua New Guinea,-6.025,147.665,42.3,7.3 MW,T,L,Lq,0,3,3,7,
1987.3.2 1:42,New Zealand (see 1987 Edgecumbe earthquake),-38.015,176.921,15,6.5 MW,L,0,1,,1,,4,
1987.3.5 9:17,Chile,-24.395,-70.1,46.3,7.5 MW,T,1,1,1,,,2,
1987.3.6 1:54,Ecuador (see 1987 Ecuador earthquakes),0.04,-77.666,12.6,6.4 MW,L,,,,5000,,2,
1987.3.6 4:10,Ecuador,0.082,-77.787,17.1,7.1 MW,L,1000,5000,5000,,,2,
1987.3.12 23:07,Poland,51.369,20.206,10,2.6 ML,,0,3,3,,,8,
1987.3.18 3:36,Japan,32.051,131.785,54,6.6 MW,T,L,1,2,1,,0,
1987.4.25 19:22,Indonesia,2.405,98.905,10,6.4 MW,,2,2,2,2,,9,
1987.5.2 20:43,Italy,44.809,10.68,15,5.2 ML,,0,1,,,,8,
1987.5.18 7:27,Philippines,8.267,125.324,19.1,6.2 MW,,1,1,1,,,9,
1987.5.23 17:09,Philippines,8.023,125.479,22.4,5.7 MW,,1,1,1,,,9,
1987.5.29 6:27,Iran,34.059,48.285,25,5.3 MW,,2,2,2,2,,1,
1987.6.18 10:01,Philippines,17.324,121.353,13.9,5.9 MW,L,0,9,9,,,0,
1987.8.2 9:07,China,25.002,115.566,11.2,4.9 mb,,0,0,3,0,,0,
1987.8.8 15:48,Chile,-19.092,-70.005,70.7,7.2 MW,L,5,5,5,5,,2,
1987.8.13 15:23,Peru,-17.9,-70.909,37.6,6.5 MW,,1,1,1,,,2,
1987.9.22 13:43,Ecuador,-1.009,-78.031,4.8,6.3 MW,L,2,2,2,2,,2,
1987.10.1 14:42,United States (see Whittier Narrows earthquake),34.061,-118.135,14.4,5.9 MW,,8,8,8,8,,5,
1987.10.2 22:27,Peru (see 1987 Santiago de Chuco earthquake),-8.166,-77.961,29.8,5.6 MW,,3,3,3,,,2,
1987.10.4 10:59,United States (see Whittier Narrows earthquake),34.02,-118.137,11.3,5.2 MW,,0,1,,,,5,
1987.11.24 1:54,United States,33.257,-115.756,15,6.0 MW,,0,2,2,2,,5,
1987.11.26 1:43,Indonesia,-8.259,124.149,27.3,6.5 MW,T,L,37,37,83,125,9,
1987.12.17 2:08,Japan,35.421,140.322,47.3,6.5 MW,,2,2,2,2,,0,
1988.1.5 6:41,South Africa,-26.905,26.694,15,5.2 mb,,0,8,8,8,,8,
1988.2.6 14:50,Bangladesh,24.713,91.579,35,5.8 MW,,2,2,2,2,,3,
1988.2.11 15:25,United States,34.08,-118.05,12,4.8 ML,,0,1,,,,5,
1988.6.19 20:19,Philippines,12.355,121.085,12.7,6.2 MW,,2,2,1,,,9,
1988.7.20 23:15,Taiwan,23.986,121.679,51,5.9 MW,L,1,1,1,,,0,
1988.8.6 0:36,Myanmar,25.105,95.126,90.5,7.2 MW,L,3,35,3,2,,3,
1988.8.10 4:38,Solomon Islands,-10.32,160.933,34,7.5 MW,T,0,1,1,1,,7,
1988.8.11 16:00,Iran,29.944,51.585,7.8,5.8 MW,,,,,1,,1,
1988.8.11 16:04,Iran,29.886,51.655,11,6.0 MW,,1,1,1,,,1,
1988.8.20 23:09,Nepal (see 1988 Nepal earthquake),26.763,86.618,57,6.8 MW,Lq,998,998,1450,709,,3,
1988.9.2 7:26,Czech Republic,49.886,18.489,10,3.8 ML,,0,3,3,,,8,
1988.9.6 0:42,Papua New Guinea,-6.062,146.226,0,4.3 ML,L,,,74,,,7,
1988.11.3 14:47,Guatemala,13.908,-90.501,75.2,6.6 MW,L,5,5,5,5,,5,
1988.11.6 13:03,China,22.909,99.681,6.5,7.0 MW,L,730,730,748,,,3,
1988.11.6 13:15,China,23.186,99.411,8.9,6.4 mb,,,,,,,3,
1988.12.7 7:41,Armenia (see 1988 Spitak earthquake),40.919,44.118,6.7,6.7 MW,,25000,25000,25000,25000,,1,
1989.1.22 23:02,Tajikistan,38.461,68.699,3.4,5.3 mb,L,,274,274,274,,6,
1989.2.19 12:27,Japan,36.038,139.86,45.4,5.5 MW,,1,1,,,,0,
1989.3.9 2:37,Malawi,-13.683,34.473,27.4,5.6 MW,,,,,9,,8,
1989.3.10 14:14,Papua New Guinea,-4.332,152.842,49.6,5.8 MW,L,0,1,1,,,7,
1989.3.10 21:49,Malawi (see 1989 Malawi earthquake),-13.708,34.485,30,6.3 MW,,9,9,9,,,8,
1989.4.15 20:34,China,29.955,99.202,13.8,6.4 MW,,11,11,8,8,,3,
1989.4.25 14:29,Mexico,16.779,-99.275,19,6.9 MW,,3,3,3,3,,5,
1989.5.7 0:38,China,23.538,99.519,25.4,5.6 MW,,1,1,1,,,3,
1989.5.27 20:08,Iran,30.148,50.892,15,6.0 MW,,0,0,,100,,1,
1989.6.12 0:04,Bangladesh,21.927,89.872,20,5.8 MW,,1,1,1,1,,3,
1989.6.26 3:27,United States Minor Outlying Islands,19.417,-155.149,9,6.4 MW,T,L,0,0,,5,5,
1989.7.21 3:09,China,30.001,99.362,5.9,5.6 MW,,,,3,,,3,
1989.8.1 0:18,Indonesia,-4.48,138.983,14,6.1 MW,L,0,120,120,120,,7,
1989.8.3 7:42,Russian Federation,43.536,45.355,35,5.1 MW,,1,1,1,,,1,
1989.8.8 8:13,United States,37.134,-121.925,15,5.4 ML,,1,1,1,,,5,
1989.8.20 11:16,Djibouti,11.746,41.96,12,6.5 MW,L,2,2,2,,,1,
1989.9.22 2:25,China,31.555,102.422,10.9,6.1 MW,,0,0,1,0,,3,
1989.10.18 0:04,United States (see 1989 Loma Prieta earthquake),37.11,-121.764,16,6.9 MW,T,L,62,62,63,62,5,
1989.10.18 14:57,China,39.959,113.94,5.6,5.4 MW,,29,29,29,29,,0,
1989.10.18 17:01,China,40.014,113.933,4.5,5.6 MW,,,,17,,,0,
1989.10.29 19:09,Algeria,36.706,2.441,6,5.9 MW,,30,30,35,22,,8,
1989.10.29 19:21,Algeria,36.706,2.437,16.6,5.6 MS,,,,,,,8,
1989.11.20 3:21,China,29.883,106.826,24.7,5.2 mb,,4,4,7,4,,3,
1989.11.20 4:19,Iran,29.898,57.716,14.9,5.9 MW,,3,3,3,,,1,
