Origin (UTC),Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,K,
1937.7.31 20:35,China,35.252,115.153,25,6.9 UK,,,,3833,,,0,
1937.8.20 11:59,Philippines,14.318,121.547,35,7.3 MW,T,,,1,,,0,
1937.12.23 13:18,Mexico,17.431,-98.287,35,7.4 MW,,,,4,,,5,
1938.4.19 10:59,Turkey (see 1938 K__r__ehir earthquake),39.439,34.015,35,6.8 UK,,,,155,149,,1,
1938.5.19 17:08,Indonesia,-0.366,119.525,49.4,7.5 MW,T,,,8,,,9,
1938.11.5 8:43,Japan,37.009,142.045,35,7.9 MW,T,,,1,,,0,
1939.1.25 3:32,Chile (see 1939 Chill__n earthquake),-36.2,-72.2,0,7.7 MW,,,,28000,30000,,2,
1939.4.30 2:55,Solomon Islands,-9.295,159.234,35,7.9 MW,T,,,12,,,7,
1939.5.1 5:58,Japan,39.839,139.969,35,7.0 MS,T,,,27,,,0,
1939.6.22 19:19,Ghana,5.18,-0.13,13,6.4 UK,,,,22,,,8,
1939.9.19 0:00,China,24.4,102.5,,5.5 UK,,,,1,,,3,
1939.12.26 23:57,Turkey (see 1939 Erzincan earthquake),39.77,39.533,35,7.8 MS,,,,32968,32962,,1,
1940.4.6 13:43,China,23.9,102.3,,6.0 UK,,,,181,,,3,
1940.5.7 22:23,Georgia,41.7,43.8,19,6.0 UK,,,,5,,,1,
1940.5.19 4:36,United States (see 1940 El Centro earthquake),33.222,-115.697,15,6.9 UK,,,,9,9,,5,
1940.5.24 16:33,Peru,-11.119,-77.629,50.1,7.5 MW,T,,,250,249,,2,
1940.6.19 0:00,China,24.4,102.5,,5.5 UK,,,,2,,,3,
1940.8.1 15:08,Japan,44.508,139.829,35,7.5 MW,T,,,10,,,0,
1940.11.10 1:39,Romania (see 1940 Vrancea earthquake),45.773,26.655,122,7.3 mb,,,,1000,980,,8,
1941.1.11 8:32,Yemen,16.4,43.5,,5.9 UK,,,,1200,,,1,
1941.2.16 16:38,Iran,33.5,58.6,,6.3 UK,,,,680,,,1,
